Trial,Smoothing,Background,Early Rewarding,Size,Style,Dilation,Attention
1,None,Included,Disabled,1,Incremental,Standard,None
2,None,Included,Disabled,10,Mixed,Reduced,Some
3,None,Removed,Disabled,10,Mixed,Reduced,None
4,None,Removed,Disabled,1,Incremental,Standard,Some
5,Custom,Included,Enabled,10,Mixed,Standard,Some
6,Custom,Included,Disabled,1,Incremental,Reduced,None
7,Custom,Removed,Enabled,1,Incremental,Reduced,Some
8,Custom,Removed,Disabled,10,Mixed,Standard,None
9,Proper,Included,Disabled,1,Incremental,Standard,None
10,Proper,Removed,Disabled,1,Incremental,Standard,None
11,None,Included,Disabled,5x,Mixed,Reduced,Some
12,None,Removed,Disabled,5,Incremental,Reduced,Some
