Trial,Smoothing,Background,Early Rewarding,Size,Style,Dilation,Attention
1,None,True,False,1,Incremental,Standard,False
2,None,True,False,10,Mixed,Reduced,True
3,None,False,False,10,Mixed,Reduced,False
4,None,False,False,1,Incremental,Standard,True
5,Custom,True,True,10,Mixed,Standard,True
6,Custom,True,False,1,Incremental,Reduced,False
7,Custom,False,True,1,Incremental,Reduced,True
8,Custom,False,False,10,Mixed,Standard,False
9,Proper,True,False,1,Incremental,Standard,False
10,Proper,False,False,1,Incremental,Standard,False
11,None,True,False,5x,Mixed,Reduced,True
12,None,False,False,5,Incremental,Reduced,True
